params,exceeds_budget,offset_ns,transformer_representable,transformer_flagged,rf_flagged,openset_flagged
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.2,""magnitude_ns"":90.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":3,""seed"":1611}",True,188.0433174551524,True,True,True,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.04,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":1,""seed"":1612}",False,14.066963360935574,True,True,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.04,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":2,""seed"":1613}",True,321.18979248026994,True,True,True,True
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.04,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":3,""seed"":1614}",False,14.19472856816892,True,True,False,True
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.04,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":1,""seed"":1615}",True,506.52414273233023,True,True,True,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.1,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":2,""seed"":1616}",False,15.771264058317584,True,True,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.1,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":3,""seed"":1617}",True,187.81420637238983,True,True,True,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.1,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":1,""seed"":1618}",False,16.255556505717653,True,True,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.1,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":2,""seed"":1619}",True,295.45414940919557,True,True,True,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.2,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":3,""seed"":1620}",False,17.33414275665503,True,True,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.2,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":1,""seed"":1621}",True,160.99578886894045,True,True,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.2,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":2,""seed"":1622}",False,12.899465759454426,True,True,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.2,""magnitude_ns"":140.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":3,""seed"":1623}",True,248.2397832743077,True,True,True,False
