capture_id,attack_family,windows,accuracy,confusion_matrix
announce_session_3,announce,2993,0.9876378215836953,"[[704,0],[37,2252]]"
sync_followup_session,sync_follow_up,4201,0.9978576529397762,"[[469,0],[9,3723]]"
