scenario,run_id,window_start_s,window_end_s,label,is_anomalous,offset_mean,offset_std,offset_abs_max,path_delay_mean,pdv_std,seq_regressions,msg_irregularity,synce_ql_max,gnss_loss_rate,holdover_rate
gnss_loss_holdover,0,0.0,0.4,healthy,0,11.330105629981873,11.118911275060132,47.786206534857016,49998.88233731831,11.174658684941376,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,0.2,0.6,healthy,0,4.738951553179695,1.5510058181805482,7.503151024817116,50001.13747208512,10.076748557036014,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,0.4,0.8,healthy,0,5.428268370816102,1.8768185750684803,10.11043073586291,49999.35119914221,5.64521764125627,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,0.6,1.0,healthy,0,2.720973117558182,3.537394701604679,10.11043073586291,49999.058319987496,7.022821750746241,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,0.8,1.2,healthy,0,-0.5420385158329394,2.1553470858489403,4.439705209951057,50001.94170546566,9.933701490238333,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,1.0,1.4,healthy,0,-0.3380970629193333,3.2327638657133106,8.331859550341685,50002.239941236694,9.200239081856761,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,1.2,1.6,healthy,0,-0.9099849019621796,3.4856330338559904,8.331859550341685,49996.641810515415,8.68732788603859,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,1.4,1.8,healthy,0,-0.5958508349995867,2.9579681683962034,6.60602152341467,49996.85539400477,10.823991243630113,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,1.6,2.0,healthy,0,0.683629417949644,2.7822596934356034,4.555334076216092,49998.30612114775,9.854215502181756,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,1.8,2.2,healthy,0,2.4369777352063755,3.623026572528953,10.364222590359468,49996.39612434834,7.520306635214081,0,0.0,1,0.5,0.5
gnss_loss_holdover,0,2.0,2.4,H0,1,12.69179691620187,8.937171703314188,29.522362889690243,49995.80857971751,6.683150697020039,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,2.2,2.6,H0,1,29.738935897816695,10.410048882581846,44.70946481364108,49999.26822337442,7.53458182240534,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,2.4,2.8,H0,1,47.63299640266547,10.084978578853972,67.48189968364238,49999.94448870978,8.957676358958212,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,2.6,3.0,H0,1,64.86371002758378,10.160888803777587,79.50916010150178,49998.69182228057,10.111046429629885,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,2.8,3.2,H0,1,81.79031656172383,8.360125230446346,97.43898392580024,50000.61430856076,10.350262924548584,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,3.0,3.4,H0,1,98.66564799748178,9.742913628196312,115.1896513565526,50001.71644845576,8.561294961974806,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,3.2,3.6,H0,1,115.2047023317851,9.114378512510548,130.69388868594217,50000.583751852835,6.966697392739432,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,3.4,3.8,H0,1,132.92537854726098,10.696038019564476,150.0678492113051,50000.211047265664,5.874028765854865,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,3.6,4.0,H0,1,149.2551008701482,8.45776442542926,163.42171193009622,49999.316465552976,8.270856985584157,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,3.8,4.2,H0,1,164.90770824537142,10.815935523408962,181.63425711435485,49998.67328306122,8.57876539524228,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,4.0,4.4,H0,1,180.91248394259964,9.08488020468291,198.86863324602064,50002.23467164132,8.255595305819295,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,4.2,4.6,H0,1,196.25395759537523,9.9020751022028,215.19405942939923,50002.71588146918,7.030045239995543,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,4.4,4.8,H0,1,212.66051306086047,9.103347224176483,225.91557914126767,50000.07693812208,6.162668785906373,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,4.6,5.0,H0,1,229.08918003565972,9.398616096080348,245.8835800336367,49997.482135230515,6.1126891600519,0,0.0,1,1.0,1.0
gnss_loss_holdover,0,4.8,5.2,H0,1,152.83033730044878,92.94858526190532,245.8835800336367,49996.21400806718,5.705804297547329,0,0.0,1,0.5,0.5
gnss_loss_holdover,0,5.0,5.4,healthy,0,35.78179799090035,50.12424249030163,183.68971195114145,49995.73999899144,7.366165404405611,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,5.2,5.6,healthy,0,2.2384380773214483,2.580084487595456,8.443555569332498,49998.13020198729,7.820108912978142,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,5.4,5.8,healthy,0,-1.0601230668869361,2.7352843977719976,5.59004481375571,49998.82616758456,7.60021708192107,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,5.6,6.0,healthy,0,-2.2714981562179513,2.151175008950385,5.59004481375571,49996.16645601364,7.365871652229636,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,5.8,6.2,healthy,0,-0.04777902067579361,2.7203083265781394,5.967668974532978,49997.67712564704,7.561961753895466,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,6.0,6.4,healthy,0,0.773629105447076,2.585908008052948,5.967668974532978,50001.14140509187,9.82256789755635,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,6.2,6.6,healthy,0,-2.7783281525515617,4.100014171049162,10.802857621283907,50002.05329488009,8.644460827185881,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,6.4,6.8,healthy,0,-4.160227086477921,3.06500403820621,10.802857621283907,50001.49401841619,8.120834548768503,0,0.0,1,0.0,0.0
gnss_loss_holdover,0,6.6,7.0,healthy,0,-1.5207985673536522,2.2389419772746013,5.089841208559417,50002.8333831505,8.706128085064838,0,0.0,1,0.0,0.0
