domain,mode,held_out_attack,attack_family,attack_windows,rf_only_attack_recall,novelty_flag_rate,combined_protective_rate,benign_windows,benign_novelty_false_alarm_rate,ablation
timesafe_real,bmca_group,announce,announce,6959,0.047708004023566605,1.0,1.0,134,0.04477611940298507,full_bmca
timesafe_real,bmca_group,announce,announce,6959,0.04756430521626671,1.0,1.0,134,0.04477611940298507,without_gm_identity_changes
