domain,attack_family,baseline_combined_protection,current_combined_protection,delta,episode_detection_rate,within_2s_episode_rate
simulated,dos,0.8715083798882681,0.88268156424581,0.011173184357541888,1.0,1.0
simulated,gnss_jam,,0.9157303370786517,,1.0,1.0
simulated,gnss_spoof,,0.0,,0.0,0.0
simulated,replay,0.5977653631284916,0.8044692737430168,0.2067039106145252,1.0,1.0
simulated,spoof,0.9162011173184358,0.9329608938547486,0.016759776536312776,1.0,1.0
timesafe_real,announce,0.9995689035781004,0.9995689035781004,0.0,1.0,1.0
timesafe_real,sync_follow_up,0.9966442953020134,0.9966442953020134,0.0,1.0,1.0
timesafe_real,sync_single_step,0.9966442953020134,0.9966442953020134,0.0,1.0,1.0
