t_s,scenario,offset_ns,measured_offset_ns,path_delay_ns,pdv_ns,freq_error_ppb,synce_ql,ptp_seq_id,ptp_msg_type,gnss_available,holdover,attack_flag,fault_flag,run_id,label
24.633664346,netem_holdover,-5245.0,-5245.0,0.0,0.0,0.0,1,1,Sync,True,True,False,False,0,H0
24.757320834,netem_holdover,-4768.0,-4768.0,0.0,0.0,0.0,1,2,Sync,True,True,False,False,0,H0
24.883436794,netem_holdover,-5435.0,-5435.0,0.0,0.0,0.0,1,3,Sync,True,True,False,False,0,H0
49.793175712,netem_holdover,-5791.0,-5791.0,0.0,0.0,0.0,1,5,Sync,True,True,False,False,0,H0
50.045231833,netem_holdover,-5791.0,-5791.0,0.0,0.0,0.0,1,7,Sync,True,True,False,False,0,H0
50.169285468,netem_holdover,-9019.0,-9019.0,0.0,0.0,0.0,1,8,Sync,True,True,False,False,0,H0
50.295442587,netem_holdover,-5886.0,-5886.0,0.0,0.0,0.0,1,9,Sync,True,True,False,False,0,H0
50.544457209,netem_holdover,-4936.0,-4936.0,0.0,0.0,0.0,1,11,Sync,True,True,False,False,0,H0
50.668302945,netem_holdover,-5981.0,-5981.0,0.0,0.0,0.0,1,12,Sync,True,True,False,False,0,H0
