wall_time,scenario,window_start_s,offset_abs_max_ns,pdv_std_ns,label,action,reason,decision_latency_s,end_to_end_latency_s,within_budget,protective_1of1,protective_2of3
2026-08-07T04:31:29.075653+00:00,holdover_fail_closed,6.4392065080000105,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,9.736599997722806e-05,0.00010739499998635438,True,False,False
2026-08-07T04:31:29.324273+00:00,holdover_fail_closed,6.639206508000011,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.01150000850248e-05,7.91989999697762e-05,True,False,False
2026-08-07T04:31:29.576668+00:00,holdover_fail_closed,6.839206508000011,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.938800001738855e-05,8.884999999736465e-05,True,False,False
2026-08-07T04:31:29.711014+00:00,holdover_fail_closed,7.039206508000011,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,9.992100001454673e-05,0.00010872000007111637,True,False,False
2026-08-07T04:31:29.957475+00:00,holdover_fail_closed,7.239206508000011,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.191199995304487e-05,8.080700001755758e-05,True,False,False
2026-08-07T04:31:30.088542+00:00,holdover_fail_closed,7.439206508000011,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,6.490999999186897e-05,7.276400003775052e-05,True,False,False
2026-08-07T04:31:30.321051+00:00,holdover_fail_closed,7.6392065080000116,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.238600005621265e-05,8.146899995153944e-05,True,False,False
2026-08-07T04:31:30.570970+00:00,holdover_fail_closed,7.839206508000012,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,0.00014883999995163322,0.0001664400000436217,True,False,False
2026-08-07T04:31:30.710879+00:00,holdover_fail_closed,8.039206508000012,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.683300009375671e-05,8.572699994147115e-05,True,False,False
2026-08-07T04:31:30.932123+00:00,holdover_fail_closed,8.239206508000011,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,6.462699991516274e-05,7.200699997156335e-05,True,False,False
2026-08-07T04:31:31.052108+00:00,holdover_fail_closed,8.43920650800001,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.877400000528723e-05,9.900600002765714e-05,True,False,False
2026-08-07T04:31:31.286302+00:00,holdover_fail_closed,8.63920650800001,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.011000002421497e-05,7.967900000949157e-05,True,False,False
2026-08-07T04:31:31.529868+00:00,holdover_fail_closed,8.839206508000009,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.119500000702828e-05,9.010099995521159e-05,True,False,False
2026-08-07T04:31:31.764333+00:00,holdover_fail_closed,9.039206508000008,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.569900003545627e-05,8.507899997312052e-05,True,False,False
2026-08-07T04:31:31.901695+00:00,holdover_fail_closed,9.239206508000008,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.649999995213875e-05,9.578499998497136e-05,True,False,False
