t_s,scenario,offset_ns,measured_offset_ns,path_delay_ns,pdv_ns,freq_error_ppb,oscillator_holdover_nominal_ppb,oscillator_holdover_tolerance_ppb,oscillator_disciplined_tolerance_ppb,gnss_reference_ns,ptp_reference_ns,peer_reference_ns,source_agreement_tolerance_ns,synce_ql,ptp_seq_id,ptp_msg_type,msg_rate_hz,grandmaster_identity,grandmaster_priority1,grandmaster_clock_class,grandmaster_clock_accuracy,offset_scaled_log_variance,grandmaster_priority2,steps_removed,time_source,gnss_sync_status,satellites_tracked,gnss_available,holdover,attack_flag,fault_flag,run_id,label
4.701543970999978,baseline,2020.0,2020.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,24,Sync,24.975760025870947,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
4.901722199999995,baseline,2293.0,2293.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,25,Sync,29.973289452967965,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
5.101961870000025,baseline,1596.0,1596.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,26,Delay_Resp,29.964092529712463,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
5.302156663999995,baseline,2901.0,2901.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,27,Sync,24.975674442367172,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
5.5023276470000155,baseline,1810.0,1810.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,28,Delay_Resp,19.982916305104933,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
5.702520456999991,baseline,-75.0,-75.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,29,Sync,29.97110635492215,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
5.902892048000012,baseline,2703.0,2703.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,30,Sync,29.944364717847506,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
6.103069484999992,baseline,817.0,817.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,31,Delay_Resp,19.982272027992906,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
6.303274550000026,baseline,48674.0,48674.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,32,Sync,24.974393130359342,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
6.50335732100001,baseline,1165.0,1165.0,0.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,33,Sync,14.993794743077807,unknown,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
