t_s,scenario,offset_ns,measured_offset_ns,path_delay_ns,pdv_ns,freq_error_ppb,oscillator_holdover_nominal_ppb,oscillator_holdover_tolerance_ppb,oscillator_disciplined_tolerance_ppb,gnss_reference_ns,ptp_reference_ns,peer_reference_ns,source_agreement_tolerance_ns,synce_ql,ptp_seq_id,ptp_msg_type,msg_rate_hz,grandmaster_identity,grandmaster_priority1,grandmaster_clock_class,grandmaster_clock_accuracy,offset_scaled_log_variance,grandmaster_priority2,steps_removed,time_source,gnss_sync_status,satellites_tracked,gnss_available,holdover,attack_flag,fault_flag,run_id,label
0.07580869999999962,mixed_pdv_loss_holdover,1225.0,1225.0,2725.0,0.0,0.0,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,1,Sync,0.0,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
0.19878960000000134,mixed_pdv_loss_holdover,1875.0,1875.0,2725.0,0.0,5285.373582401746,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,2,Sync,16.262687945851525,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
0.3144153000000003,mixed_pdv_loss_holdover,5475.0,5475.0,2725.0,0.0,31134.946642485476,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,3,Sync,25.945788868737896,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
0.42941760000000073,mixed_pdv_loss_holdover,875.0,875.0,2725.0,0.0,-39999.20001599952,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,4,Sync,26.086434793043168,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
0.5450026000000001,mixed_pdv_loss_holdover,900.0,900.0,2700.0,-25.0,216.2910412250736,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,5,Delay_Resp,34.60656659601178,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
0.6606448,mixed_pdv_loss_holdover,1200.0,1200.0,2700.0,-25.0,2594.2086885237413,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,6,Sync,25.942086885237416,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
0.8815974000000004,mixed_pdv_loss_holdover,500.0,500.0,2700.0,-25.0,-3168.1003074867585,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,7,Sync,27.155145492743646,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
1.004846999999998,mixed_pdv_loss_holdover,1700.0,1700.0,2700.0,-12.5,9736.339915099303,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,8,Delay_Resp,32.45446638366435,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
1.2436170000000004,mixed_pdv_loss_holdover,1450.0,1450.0,2750.0,25.0,-1047.0327093018282,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,9,Delay_Resp,29.31691586045119,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
1.3604385000000008,mixed_pdv_loss_holdover,1050.0,1050.0,2750.0,25.0,-3424.0272552569413,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,10,Sync,17.120136276284708,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
1.4782827000000012,mixed_pdv_loss_holdover,1550.0,1550.0,2750.0,25.0,4242.890188910428,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,11,Sync,25.45734113346257,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
1.7366791,mixed_pdv_loss_holdover,1850.0,1850.0,2750.0,25.0,1161.0068870928599,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,12,Sync,19.350114784880997,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
1.8565323000000014,mixed_pdv_loss_holdover,2425.0,2425.0,2775.0,50.0,4797.535651947492,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,13,Sync,25.030620792769522,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
1.9744677999999993,mixed_pdv_loss_holdover,-1275.0,-1275.0,2775.0,50.0,-31373.08104853978,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,14,Sync,16.958422188399883,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
2.0929657000000006,mixed_pdv_loss_holdover,-1075.0,-1075.0,2775.0,50.0,1687.7936233468936,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,15,Delay_Resp,33.75587246693787,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
2.3016642999999988,mixed_pdv_loss_holdover,1925.0,1925.0,2775.0,37.5,14374.796955993123,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,16,Sync,14.374796955993123,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
2.5267920000000004,mixed_pdv_loss_holdover,2425.0,2425.0,2775.0,25.0,2220.9617030689537,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,17,Sync,17.76769362455163,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
2.6434922999999984,mixed_pdv_loss_holdover,3850.0,3850.0,2850.0,100.0,12210.765525024568,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,18,Sync,25.706874789525408,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
2.759880299999999,mixed_pdv_loss_holdover,2575.0,2575.0,2925.0,175.0,-10954.737601814564,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,19,Sync,25.77585318074015,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
2.8771786000000006,mixed_pdv_loss_holdover,1675.0,1675.0,2925.0,175.0,-7672.745470309352,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,20,Sync,25.575818234364508,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
3.0623943999999987,mixed_pdv_loss_holdover,1825.0,1825.0,3175.0,425.0,809.8661129342178,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,21,Delay_Resp,26.995537097807258,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
3.2597835999999987,mixed_pdv_loss_holdover,-1625.0,-1625.0,3225.0,475.0,-17478.159899325805,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,22,Sync,25.330666520762037,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
3.394247,mixed_pdv_loss_holdover,4075.0,4075.0,3375.0,625.0,42390.71747404827,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,23,Delay_Resp,29.747871911612826,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
3.5857323,mixed_pdv_loss_holdover,475.0,475.0,3725.0,962.5,-18800.398777347393,6.0,2.0,1.5,0.0,0.0,0.0,20.0,4,24,Sync,31.333997962245654,c29a38.fffe.b34e68,128,248,254,65535,128,1,160,BOOTING,-1,False,False,False,False,0,healthy
