scope,persistence,duration_s,valid_windows,false_alarm_windows,false_alarm_percent,false_alarm_windows_per_hour,deduplicated_episodes,deduplicated_episodes_per_hour,telemetry_duration_s
benign_baseline,1-of-1,5218.999999997445,14537,14537,100.0,10027.438206557888,1,0.6897873155780346,5255.8043195440005
benign_baseline,2-of-3,5218.999999997445,14537,14536,99.99312100158217,10026.74841924231,1,0.6897873155780346,5255.8043195440005
