phase,windows,h1_percent,unknown_percent,protective_2of3_percent,latency_mean_s,latency_max_s,within_1s_percent
pdv,482,0.0,99.79253112033194,99.79253112033194,0.19309734514107843,0.4035219579999989,100.0
loss,740,0.0,57.97297297297297,57.97297297297297,0.10920862167162138,0.2980670000000032,100.0
holdover,945,0.0,0.0,0.0,0.0005985534412711887,0.1571378419999973,100.0
