model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_h1,confusion_matrix
random_forest_h0_h1,1.0,1.0,1.0,1.0,1.0,"[[126, 0], [0, 84]]"
detection_only_all_anomalies_attack,0.4,0.2,0.5,0.2857142857142857,0.5,"[[0, 126], [0, 84]]"
