model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_h1,confusion_matrix
random_forest_h0_h1,0.9904306220095693,0.990625,0.9904153354632588,0.9904294291238425,0.9996031826784151,"[[314, 0], [6, 307]]"
detection_only_all_anomalies_attack,0.49920255183413076,0.24960127591706538,0.5,0.33297872340425533,0.5,"[[0, 314], [0, 313]]"
